concepts|phrases
Agony|agony
Abdominal pain|abdominal pain
Low back pain|lower back pain
Labour pain|labor pain
Pain|pain
Arthrotec|Arthrotec
paracetamol|Paracetamol
Pain|pain
ibuprofen|Ibuprofen
Arthrotec|Arthrotec
paracetamol|Paracetamol
Headache|headache
ibuprofen|Ibuprofen
Arthrotec|Arthrotec
Pain|pain
Heavy episode of vaginal bleeding|heavy vaginal bleeding
Severe pain|serious pain
Vaginal bleeding|bleeding from the vagina
paracetamol|Paracetamol
diclofenac + misoprostol|Diclofenac and Misoprostol
Abdominal pain|abdominal pain
Menstrual cramp|mentstrual cramps
Flatulence, eructation and gas pain|diarreah cramping
Abdominal pain|lower abdominal pain
Advil|Advil
Muscle cramp|inflammation in my back muscles
Cervical arthritis|inflammation in my neck
Excessive upper gastrointestinal gas|GI bleed
Menorrhagia|heavy menstrual bleeding
Anaemia|anemia
Excessive upper gastrointestinal gas|gastric bleed
Dizziness|dizzy
Lightheadedness|light headed
Acid reflux|acidic bile at the back of my throat
Menorrhagia|slightly heavier menstrual cycle
Stomach problem|stomach issues
Immobile|highly immobile
Constant pain|constant pain
Arthrotec|arthrotec
Pain|pain
Arthritis/arthrosis|chronic arthritic type issues
Pain in pelvis|lower pelvic pain
Uterine spasm|Uterus contractions
Vaginal bleeding|Bloody vagina
Excessive upper gastrointestinal gas|gastric pain
Uterus problem|something wrong with my uterus
Heartburn|heartburn
Nausea|nausea
Excessive appetite|voracious hunger
Lower abdominal pain|sharp unbearable cramping pains in lower gut
Pain|pain
Pain in forearm|pain in my forearms
Low back pain|lower back pain
Arthrotec|arthrotec
Menstrual cramp|MAJOR menstrual cramps
Bleeding|bleeding
Illness|sickness
Vomiting|puking
Pain|pain
Pain|pain
Muscle cramp|cramps
Heavy episode of vaginal bleeding|heavy vaginal bleeding
Stomach cramps|Severe abdominal cramping
Sweating|sweating
Menstrual cramp|period cramps
Vaginal bleeding|vaginal bleeding
Diarrhoea|diarrhea
Acid reflux|acid reflux
Aptyalism|dry mouth
Migraine|migraine
Pain|pain
Muscle cramp|excessive cramping
Tired|tired
Fatigue|fatigue
Dyspnoea|shortness of breath
Pain|pain
Dizziness|dizzy
Nausea|nausea
Vaginospasm|severe vaginal cramps
Muscle cramp|cramps
Knee pain|sore knee
Muscle cramp|cramps
Knee joint inflamed|knee inflammation
Knee pain|knee pain
Nausea|nausea
Always hungry|extreme hunger
Stomach ache|stomach pain
Abdominal pain|abdominal pain
Vaginal bleeding|vaginal bleeding
Muscle cramp|cramps
Pain|pain
Diarrhoea|diarrhea
Nausea|nausea
Loss of appetite|loss of apetite
Stomach cramps|stomach cramps
Arthrotec|arthotec
Arthrotec|arthrotec
Backache|back pain
Arthrotec|arthrotec
Pain|pain
Severe pain|pain really bad
Arthrotec|Arthrotec
Menstrual cramp|severe mentrual cramps
Severe pain|so much pain
Advil|Advil
Miscarriage|abortion
Menopause present|menopause
Pain in pelvis|endo pain
Anxiety|Anxiety
Bleeding|bleeding inside
Muscle cramp|cramp
Fear|'scared' feeling
Pain|pain
Vaginal bleeding|vaginal bleeding
Muscle cramp|cramping
Menopause present|menopause
Arthralgia|joint pain
Endometriosis|endometriosis
Endometriosis of uterus|adenomyosis
Blood coagulation disorder|impairment in blood clotting
Ehlers-Danlos syndrome|EDS
Cymbalta|Cymbalta
Pain|pain
Constipation|Constipation
Arthralgia|joint pain
Pain|Pain
Itching|extreme itching on legs and arms
Impaired mobility|mobility has DECREASED
Constipation|constipation
Arthrotec|Arthrotec
Pain|pain
Myalgia|muscle pain
Arthralgia|joint pain
paracetamol + codeine|co-codamol
Arthrotec|Arthrotec
Backache|back pain
Vaginal bleeding|vaginal bleeding
Menorrhagia|clotting, and horrible periods
Bleeding|bleeding has not subsided
Arthrotec|Arthrotec
Heavy episode of vaginal bleeding|heavy/extra vaginal bleeding
Bleeding|bleeding problem
Pain|pain
Bleeding|bleeding constantly
Arthrotec|Arthrotec
Bleeding|bleeding
Pain|extra pains
Headache|headaches
Fatigue|extreme tiredness
Heartburn|heartburn in back of throat
Hunger pain|hunger pangs
Aptyalism|dry mouth
Lower abdominal pain|severe lower abdominal pain/cramping
Feeling irritable|very irritable
Pain|pain
Premenstrual tension syndrome|PMS symptoms
misoprostol|misoprostol
Excessive upper gastrointestinal gas|GERD
Severe pain|severe abdominal pain
Contusion|bruises
Tired|tired
Unable to move hand|could not open my hands
Walking disability|could not walk
Hypomenorrhoea|Bleeding mini periods
Lightheadedness|lightheaded
Pins and needles|finger tingling
Pain|pain
Irregular menstruation|bleeding several times a month menstrual cycle is completely out of whack
Nausea|Nausea
Muscle cramp|Irregular cramping
Hip pain|hip pain
Menorrhagia|period all month long
Nausea|nauseous
Stomach cramps|sever abdominal cramps
Menstrual cramp|period cramps
Advil|Advil
Cramping pain|cramping pain
Diarrhoea|diarrhea
Stomach cramps|SEVERE abdominal cramping
Diarrhoea|massive diarrhea
Muscle cramp|severe cramping
Knee pain|chronic knee pain
Upset stomach|Upset stomach
Nausea|nausea
Vomiting|vomiting
Abdominal pain|abdominal pain
Constipation|constipation
Loose stool|loose bowels
Flushing|excessive hot flashes
Night sweats|night sweats
Blurred vision - hazy|blurred vision
Feeling irritable|irritability
Chest discomfort|chest discomfort
Pain in elbow|elbow pain
Arthritis|arthritis
Headache|headaches
ascorbic acid|vitamin C crystals
Pain|pain
Migraine|migrains
Excessive and frequent menstruation|menstruating with heavy bleeding every 11 days
Muscle cramp|horrific cramps
Arthrotec|arthrotec
Endometriosis|endometriosis
Arthrotec|arthrotec
Pain|pain
Arthrotec|Arthrotec
Stomach cramps|stomach trouble, or cramps
Celebrex|Celebrex
Ulcer|ulcer
Celebrex|Celebrex
Stomach problem|stomach trouble
Kidney disease|kidney damage
Liver disease|liver damage
Dizziness|Dizziness
Illness|sickness
Excessive upper gastrointestinal gas|stomach gas
Tight chest|feel like a bubble of air is stuck in my chest
Hunger pain|hunger pangs
paracetamol + codeine|co-codamol
Fibromyalgia|fibromyalgia
Severe pain|severe hip pain
paracetamol + codeine|co codamol
cortisone|cortozone injections
Malaise|feel dreadful
Fear of falling|fear of falling over
Illness|sick
Lightheadedness|light headed
Nausea|nausea
Clammy skin|feel all clammy
Hungry|hunger
Hip pain|pain in my hips
Stomach ache|Stomach pains
Chest pain|chest pains
Anxiety|anxiety
Fatigue|fatigue
Headache|headache
Irregular heart rate|erratic heart beat
Finding of increased blood pressure|raised blood pressure
Dizziness|dizziness
Nausea|nausea
Blurred vision - hazy|blurred vision
Arthrotec|Arthrotec
rabeprazole|Aciphex
Heartburn|heart burn
Indigestion|indigestion
Acid reflux|acid reflux
Dizziness|dizziness
Nausea|nausea
Uterine spasm|period like cramps
Muscle cramp|cramps
Chest pain|chest pains
Tachycardia|elevated heart rate
Flushing|hot flashes
Dizziness|dizziness
Stomach cramps|sever stomach cramps
Weakness of limb|weakness in my legs
rabeprazole|Aciphex
Arthrotec|Arthrotec
Muscle cramp|severe cramping
Diarrhoea|diarrhea
Menstrual loss increasing|increased menstrual blood flow
Arthrotec|Arthrotec
Urinary incontinence|urinary incontinence
Calcaneal spur|heel spurs
Excessive upper gastrointestinal gas|bad gas
Diarrhoea|SEVERE diarrhea
Stomach cramps|stomach cramps
Nausea|nausea
Influenza-like illness| fluey feelings in upper arms, legs
Arthrotec|Artrotec
Influenza-like illness|fluey feelings
Nausea|Naseua
Vomiting|vomiting
Muscle cramp|cramps
Dry eyes|dry eyes
Loss of appetite|loss of appetite
Hungry|hunger feeling
Stomach cramps|stomach cramping
Cramp in calf|muscle cramps in my calf muscles
Cannot sleep at all|couldn't sleep
Muscle cramp|cramps
Arthritis|arthritis
Charleyhorse|Charlie Horses
Unable to climb stairs|walking up the stairs was intolerable
Pain|pain
Pain in pelvis|intense pelvic pain
Backache|back pain
Miscarriage|miscarriage
Severe pain|intense, horrid pain
Menstrual spotting|spotting
Bloating symptom|terrible bloating
Nausea|nausea
Arthritis|arthritis
Pain|pain
Bleeding|bleeding
Stomach ache|stomach pains
Shoulder pain|shoulder pain
Nausea|severe nausea
Dizziness|dizziness
Severe pain|terrible stomach pain
Jaw pain|Tmj pain
Menstrual cramp|period cramps
Malaise|feel sick
Lower abdominal pain|shooting lower abdominal pains
Fear|scared to death
Pain|pain
Hand joint stiff|stiffness in my hands
Difficulty moving hand|very little mobility in my right hand
Severe pain|extreme pain
Bleeding|heavy bleeding
Dizziness|dizziness
Arthrotec|Arthrotec
Disorder of back|bad back
Pain|knew pain
Hip pain|hip pain
Spasm|bad cramps
Diarrhoea|diarrhea
Bleeding|heavy bleeding
Muscle cramp|cramps
Generally unwell|feeling sick
Menstrual spotting|spotting
Menstrual spotting|spotting problems
Disorientated|Disorentatation
Itching|itching
Abdominal colic|abominal cramps
Arthrotec|arthrotec
Knee pain|knee pain
cortisone|cortisone shot
Knee pain|knee pain
Vaginal bleeding|vaginal bleeding
Postmenopausal bleeding|cycle was back (I'm menopausal )
Mastalgia|breast pain
Erythema|erithema
Dry skin|skin is so dry
Excessive sweating|sweating a lot
Pruritus ani|pruritus ani
Diarrhoea|diarrhea
Pain|pain
Vaginal bleeding|first vaginal bleeding
Itching of skin|pruritus
Erythema of skin|skin was all red
Arthrotec|arthrotec
Infection|infections
Arthrotec|Arthrotec
Stomach ache|stomach pain
Nausea|slight nausea
Reflux|reflux
Abdominal colic|abdominal cramps and pain
Excessive upper gastrointestinal gas|abdominal gas
Abdominal colic|abdominal cramps
Arthrotec|Arthrotec
Pain|pain
Reflux|reflux
Abdominal colic|abdominal cramps
Abdominal discomfort|abdominal discomfort
Excessive upper gastrointestinal gas|abdominal gas
Arthrotec|Arthrotec
Tylenol|Tylenol
Arthrotec|Arthrotec
Stomach ache|stomach pain
Bleeding|bled heavily
Bleeding|Bleeding
Rash|rash on my wrist
Excessive upper gastrointestinal gas|gas
Pain|pain
Stomach ache|stomich ake
Dyspnoea|shortness of breath
Impaired mobility|mobility was going from bad to worse
Rheumatoid arthritis|rematoid arthro
Arthritis|arthritice
Infectious disease of lung|infection in her lungs
Arthrotec|arthrotec
Vaginal bleeding|vaginal bleeding
Postmenopausal bleeding|my cycle was back (I'm menopausal )
Mastalgia|breast pain
Erythema|erithema
Dry skin|skin is so dry
Excessive sweating|sweating a lot
Pruritus ani|pruritus ani
Diarrhoea|diarrhea
Pain|pain
Vaginal bleeding|vaginal bleeding
Itching of skin|pruritus
Erythema of skin|skin was all red
Arthrotec|arthrotec
Arthrotec|Arthrotec
Severe pain|extreme stomach pain
Stomach ache|moderate stomach pain
Drowsy|drowsiness
Arthrotec|arthrotec
Arthrotec|arthrotec
Knee pain|knee pain
Mobic|mobic
Celebrex|celebrex
Stomach ache|stomach pain
Severe pain|gut-renching abdominal pain
Jaundice|jaundins
Diarrhoea|diahrea
Hot sweats|sweats
Flushing|hot flashes
Vaginal bleeding|vaginal bleeding
Constipation|constipation
Nausea|slight nausea
Irritability and anger|crankiness and irritability
Finding of increased blood pressure|Increased BP
Visual disturbance|visual disturbances
Pain|pain
Nausea|light nausea
Sharp pain|sharp pain in my stomach
Excruciating pain|pain unbearable
Stomach ache|stomach pain
Stomach ache|stomach pain
Pain in spine|spinal pain
Naprosyn|Naprosyn
Excessive upper gastrointestinal gas|gas
Diarrhoea|diarrhea
Pain|pain
Headache|severe sudden onset headache in the back of head
Increased venous pressure|BP was extrememly high
Pulse fast|pulse was high
clonidine|clonidine
Increased venous pressure|high BP
Pulse fast|pulse is still extremely high
Tachycardia|tachycardia
Acid reflux|severe acid reflux
Headache|headache
Uterine spasm|severe uterine cramping
Abdominal colic|severe colon cramping
Cold sweat|Cold sweat
Syncope|fainting
Palpitations|heart palpitations
Polymenorrhoea|frequent menstral periods
Postmenopausal bleeding|post-menopausal and have now had a six day period
Breast tenderness|tender breasts
Bloating symptom|bloating
Muscle cramp|cramping
Excessive upper gastrointestinal gas|Gasto discomfort
Nexium|NEXIUM
Arthrotec|ARTHROTEC 50
Bleeding between periods|Vaginal bleeding when it was not time for my period
Headache|headaches
Neck pain|neck pain
Bloating symptom|bloating
Weight gain|weight gain
Low back pain|pain in my lower back
Neurontin|Neurontin
Advil|advil
Swelling|swelling
Bloating symptom|bloating
Increased appetite|increased appetite
Feeling empty|empty stomach feeling
Dry skin|dry,itchy skin
Arthrotec|Arthrotec
glucosamine|glucoasamine
Arthritis|arthritis
Pain|pain
Tylenol|tylenol 8
Blurred vision - hazy|Blurred vision
Stomach ache|Stomach ache
Body fluid retention|Water retention
Throbbing headache|Throbbing headache
Random blood sugar raised|Elevated my blood glucose levels
enalapril|Vasotec
glibenclamide|Glyburide
Avandia|Avandia
Severe pain|severe abdonimal pain
Dark stools|stool was black
Haematochezia|blood in my stool
Acid reflux|acid reflux
Pain|pain
Arthrotec|arthrotec 50
Pain|pain
Pain|pain
Stomach ache|starting to upset my stomach
Insomnia|can't sleep
Pain|pain
Abdominal pain|abdominal pain
Abdominal pain|constant soreness in abdomen
Headache|headache
Excessive upper gastrointestinal gas|general stomach upset feeling
Celebrex|Celebrex
Arthrotec|Arthrotec
Stomach ache|stomach pains
Heartburn|heartburn
Pain|pain
Diarrhoea|diarrhea
Severe pain|severe abdominal pain
Vomiting|vomiting
Trembles|trembling
Dizziness|dizziness
Nausea|nausea
Arthrotec|Arthrotec
Menstrual cramp|menstrual cramps
Severe pain|pain severe
Dysmenorrhoea|severe menstual pain
Abdominal pain|abdominal pains
Hives|severe welts
Congestion of throat|swelling of throat
Tachycardia|rapid heart beat
Headache|headaches
Arthralgia|arthritic pain
Dizziness|Dizziness
Syncope|faintness
Disorientated|disorientation
Severe pain|Major stomach pain
Abdominal wind pain|massive gas cramps
Bloating symptom|bloating
Diarrhoea|bathroom with the runs
Myocardial infarction|heart attack
Cerebrovascular accident|stroke
Illness|sick
Pain in thumb|thumb pain
Backache|back pain
Stomach ache|stomach hurt soooo bad
Pain in thumb|thumbs hurt so bad
Stomach ache|stomach pain
Diarrhoea|diarrhea
Abdominal colic|Abdominal cramps
Flatulence/wind|flatulence
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloating
Muscle cramp|Cramps
Pain in the coccyx|coccyx pain
Muscle cramp|cramps
Bloating symptom|bloating
Haematuria|urine is bloody
Aphthous ulcer|canker sores
Pain|It hurts
Postmenopausal bleeding|little vaginal bleeding in spite of being menopausal for 10 years
oestradiol|Estrace
oestradiol|Estrace
Vomiting|vomitting
Illness|sick
Illness|sickness
Illness|sickness
Arthralgia|very painful joints
Pain|pain
Nausea|EXTREME nausea
Hip pain|pain in my hip
Vaginal bleeding|vaginal bleeding
Generalised aches and pains|aches and pains
Prolonged periods|extended bleeding during menstruation
Backache|back pain
Menorrhagia|heavy menstral cycles
Fatigue|fatigue
Headache|headaches
Pain|pain
Excruciating pain|excruciating, unusual abdominal pain
Low back pain|lower back pain
Diarrhoea|diarrhea
Palpitations|heart palpitations
Vaginal bleeding|vaginal bleeding
Pain|pain
Diarrhoea|diarrhoea
Foot swelling|swelling feet
Ankle oedema|ankles swelling
Liver disease|wrong with my liver
Finding of increased blood pressure|blood pressure had gone sky high
Swelling|swelling
Arthrotec|Arthrotec
Uterine spasm|extreme uterine cramping
Excruciating pain|excruciating pain
Bleeding|Heavy bleeding
Muscle cramp|cramping
Muscle cramp|cramping
Bleeding|bleeding
misoprostol|misoprostal
Arthrotec|Arthrotec
Body fluid retention|fluid retention
Myalgia|muscle pain
Muscle cramp|cramps
Arthrotec|ARTHROTEC
Knee pain|KNEE PAIN
Nausea|queasiness
Diarrhoea|diarrhoea
Flatulence, eructation and gas pain|gas pains
Pain|pain
Arthrotec|Arthrotec
Severe pain|pain is severe
Arthrotec|Arthrotec
Nausea|nausea
Bleeding|bleeding problems
Migraine|migraine
Burning epigastric pain|burning my esophagus
Retching|dry heaves
Vomiting|vomit
Burning sensation|burning sensation
diclofenac|Cambia
Maxalt|Maxalt
Migraine|migraines
Migraine|worse migraines
Migraine|migraines
Rectal haemorrhage|rectal bleeding
Collapse|collapse
Excessive upper gastrointestinal gas|GI hemmorage
Rectal haemorrhage|rectal bleeding
Colitis|collitis
Excessive upper gastrointestinal gas|GI distress
diclofenac|Cataflam
diclofenac|Cataflam
Aptyalism|Dry mouth
Pain|pain
paracetamol + ibuprofen|mypaid forte
ibuprofen|Ibuprofen 400 mg
paracetamol|Paracetamol 325 mg
Stomach ache|Stomach pains
Excessive upper gastrointestinal gas|gass
Aptyalism|dry mouth
Drowsy|drowsiness
Drowsy|drowsiness
Aptyalism|dry mouth
Drowsy|drowsiness
Pain|pain
Pain|pain
Pain|aches
Pain|pains
diclofenac|Cataflam
Stevens-Johnson syndrome|Stevens Johnson Syndrome
Lower abdominal pain|Lower gut pain
Diarrhoea|diahrrea
Excessive upper gastrointestinal gas|Gastrointestinal problems
Celebrex|Celebrx
diclofenac|Cataflam
diclofenac|Cataflam
Blood pressure alteration|slight effect on my blood pressure
ibuprofen|ibuprofen
Photosensitisation due to sun|sun sensitivity
ibuprofen|ibu
Pain|pain
Inflammatory disorder|inflammation
Excessive upper gastrointestinal gas|gassy abdominal cramping
Pain|pain
Endometriosis|Endometriosis
diclofenac|Cataflam
Pain|pain
pethidine|Demerol
Myocardial infarction|heart attacks
Cerebrovascular accident|strokes
Lumbar arthritis|lower lumbar arthritis
Dysmenorrhoea|dysmennorhea
Severe pain|severe pain
Pain|pain
Pain in throat|throat pain
Ulcer of oesophagus|esofogual uclers
Unable to eat|couldn't eat or drink
Unable to eat|can't eat normal
Illness|sick
Drowsy|drowsy
Tired|tired
Pain|pain
Aleve|Aleve
Pain|pain
Aleve|Aleve
Aleve|Aleve
Headache|HEADACHE
Swollen legs|SWELLING OF THE LEGS AND FEET
Increased venous pressure|HIGH BLOOD PRESSURE
Infective cystitis|BLADDER INFECTION
Swelling|SWELLING
Infective cystitis|BLADDER INFECTION
Urinary retention|BLADDER NOT TO EMPTY AS IT SHOULD
Pain|PAIN
Aleve|ALEVE
Vaginal bleeding|vaginal bleeding
Burning sensation of vagina|vaginal skin burns
Mastalgia|breast pain
Erythema|erithema
Dry skin|skin is so dry
Cut of hand|cuts on my hands
Excessive sweating|sweating a lot
Itching of skin|pruritus
Diarrhoea|diarrhea
Pain|pain
Vaginal bleeding|vaginal bleeding
Itching of skin|pruritus
Erythema of skin|skin was all red
Arthrotec|arthrotec
Arthrotec|Arthrotec
Voltaren|VOLTAREN
Stomach ache|stomach pains
Drowsy|excessive drowsiness
Foot pain|foot was hurting
Walking disability|hobbling
Pain|pain
Chronic pain|chronic pain
Drowsy|drowsiness
Feeling intoxicated|grogginess
Amnesia|memory loss
Neurontin|Neurontin
Upset stomach|stomach upset
Gastric ulcer with perforation|perforated ulcer
Arthritis|arthritis
Bleeding|bleeding
Peritonitis|peritonitis
Bacterial sepsis|septicaemia
Renal failure|renal and respiratory failure
Heel pain|pain in my right heel
Plantar fasciitis|plantar fasciitis
Pain|pain
Swelling|puffiness
Pain|pain
Myalgia|Muscle pain
